Class;x min;y min;x max - x min;y max - ymin;Image name;Width;Height
6;25;15;6;16;20200614_130420.jpg;96;40
4;33;14;7;17;20200614_130420.jpg;96;40
5;42;15;7;16;20200614_130420.jpg;96;40
b;58;18;12;11;20200614_130420.jpg;96;40
6;80;16;8;16;20200614_130420.jpg;96;40
9;12;11;7;15;20200614_130423(0).jpg;90;29
2;19;11;7;15;20200614_130423(0).jpg;90;29
3;24;10;7;16;20200614_130423(0).jpg;90;29
4;30;9;6;16;20200614_130423(0).jpg;90;29
7;35;10;7;16;20200614_130423(0).jpg;90;29
a;52;5;9;17;20200614_130423(0).jpg;90;29
7;75;5;8;15;20200614_130423(0).jpg;90;29
9;12;8;6;14;20200614_130423.jpg;85;27
2;16;8;6;14;20200614_130423.jpg;85;27
3;22;8;5;14;20200614_130423.jpg;85;27
4;28;9;4;12;20200614_130423.jpg;85;27
7;33;8;6;13;20200614_130423.jpg;85;27
a;49;7;7;13;20200614_130423.jpg;85;27
7;70;6;7;15;20200614_130423.jpg;85;27
5;31;50;14;29;20200614_130433(0).jpg;205;91
7;46;47;13;28;20200614_130433(0).jpg;205;91
8;61;43;11;29;20200614_130433(0).jpg;205;91
5;73;37;13;31;20200614_130433(0).jpg;205;91
a;125;26;10;29;20200614_130433(0).jpg;205;91
7;171;12;12;30;20200614_130433(0).jpg;205;91
5;17;44;12;23;20200614_130433.jpg;160;73
7;29;42;10;23;20200614_130433.jpg;160;73
8;40;39;9;23;20200614_130433.jpg;160;73
5;51;34;11;25;20200614_130433.jpg;160;73
a;94;25;7;23;20200614_130433.jpg;160;73
7;129;15;10;25;20200614_130433.jpg;160;73
6;25;42;18;39;20200614_130436.jpg;260;95
3;45;40;16;39;20200614_130436.jpg;260;95
3;63;38;17;38;20200614_130436.jpg;260;95
3;81;34;16;40;20200614_130436.jpg;260;95
7;100;31;17;42;20200614_130436.jpg;260;95
h;145;34;23;24;20200614_130436.jpg;260;95
6;197;17;18;38;20200614_130436.jpg;260;95
5;15;27;9;17;20200614_130439.jpg;132;48
9;25;24;8;17;20200614_130439.jpg;132;48
9;34;23;9;16;20200614_130439.jpg;132;48
6;44;21;9;16;20200614_130439.jpg;132;48
2;54;20;9;17;20200614_130439.jpg;132;48
6;64;18;9;16;20200614_130439.jpg;132;48
w;84;13;15;15;20200614_130439.jpg;132;48
w;100;11;18;15;20200614_130439.jpg;132;48
5;12;30;11;20;20200614_130440.jpg;140;73
9;25;28;10;20;20200614_130440.jpg;140;73
9;36;25;11;20;20200614_130440.jpg;140;73
6;49;23;11;21;20200614_130440.jpg;140;73
2;61;20;10;21;20200614_130440.jpg;140;73
6;72;17;11;20;20200614_130440.jpg;140;73
w;97;13;17;17;20200614_130440.jpg;140;73
w;116;8;17;18;20200614_130440.jpg;140;73
2;15;26;14;29;20200614_130443.jpg;205;61
3;32;25;13;28;20200614_130443.jpg;205;61
7;48;22;13;31;20200614_130443.jpg;205;61
8;63;24;13;26;20200614_130443.jpg;205;61
4;79;20;13;28;20200614_130443.jpg;205;61
h;122;21;18;21;20200614_130443.jpg;205;61
6;168;11;14;26;20200614_130443.jpg;205;61
2;13;44;20;42;20200614_130444.jpg;235;95
3;36;42;16;39;20200614_130444.jpg;235;95
7;56;36;18;42;20200614_130444.jpg;235;95
8;76;34;16;41;20200614_130444.jpg;235;95
4;94;30;17;40;20200614_130444.jpg;235;95
h;146;27;24;31;20200614_130444.jpg;235;95
6;202;12;15;39;20200614_130444.jpg;235;95
8;9;7;8;16;20200614_130452.jpg;115;27
0;19;6;9;17;20200614_130452.jpg;115;27
9;28;5;8;17;20200614_130452.jpg;115;27
7;37;4;9;18;20200614_130452.jpg;115;27
6;46;4;9;17;20200614_130452.jpg;115;27
b;66;7;18;10;20200614_130452.jpg;115;27
8;94;1;9;16;20200614_130452.jpg;115;27
8;12;7;8;20;20200614_130453.jpg;139;44
0;24;7;9;19;20200614_130453.jpg;139;44
9;36;7;10;20;20200614_130453.jpg;139;44
7;48;7;11;20;20200614_130453.jpg;139;44
6;60;7;11;19;20200614_130453.jpg;139;44
b;83;13;23;14;20200614_130453.jpg;139;44
8;118;8;10;19;20200614_130453.jpg;139;44
4;18;23;17;34;20200614_130500(0).jpg;245;102
5;37;27;16;32;20200614_130500(0).jpg;245;102
3;56;32;14;33;20200614_130500(0).jpg;245;102
6;74;34;16;34;20200614_130500(0).jpg;245;102
7;94;37;17;34;20200614_130500(0).jpg;245;102
a;148;49;12;35;20200614_130500(0).jpg;245;102
7;193;56;20;33;20200614_130500(0).jpg;245;102
2;212;61;18;33;20200614_130500(0).jpg;245;102
4;14;5;13;28;20200614_130500.jpg;175;61
5;28;9;12;25;20200614_130500.jpg;175;61
3;43;11;11;25;20200614_130500.jpg;175;61
6;55;11;13;27;20200614_130500.jpg;175;61
7;67;14;13;25;20200614_130500.jpg;175;61
a;107;19;10;29;20200614_130500.jpg;175;61
7;138;23;15;27;20200614_130500.jpg;175;61
2;155;25;13;27;20200614_130500.jpg;175;61
2;42;26;44;42;20200614_130511.jpg;584;193
8;91;40;39;41;20200614_130511.jpg;584;193
3;136;53;41;39;20200614_130511.jpg;584;193
6;179;64;40;36;20200614_130511.jpg;584;193
4;224;75;38;41;20200614_130511.jpg;584;193
b;326;105;92;37;20200614_130511.jpg;584;193
1;470;128;39;41;20200614_130511.jpg;584;193
5;500;135;65;37;20200614_130511.jpg;584;193
1;36;70;33;43;20200614_130517(0).jpg;402;121
5;60;65;42;44;20200614_130517(0).jpg;402;121
0;92;61;42;41;20200614_130517(0).jpg;402;121
7;118;54;34;42;20200614_130517(0).jpg;402;121
7;152;48;31;46;20200614_130517(0).jpg;402;121
waw;258;32;31;39;20200614_130517(0).jpg;402;121
6;338;9;40;50;20200614_130517(0).jpg;402;121
1;38;115;31;48;20200614_130517.jpg;381;178
5;67;103;42;51;20200614_130517.jpg;381;178
0;103;95;35;47;20200614_130517.jpg;381;178
7;132;84;33;51;20200614_130517.jpg;381;178
7;162;72;31;50;20200614_130517.jpg;381;178
waw;264;47;27;39;20200614_130517.jpg;381;178
6;333;13;32;52;20200614_130517.jpg;381;178
2;39;18;30;49;20200614_130529(0).jpg;403;77
6;70;18;32;48;20200614_130529(0).jpg;403;77
0;99;19;31;48;20200614_130529(0).jpg;403;77
1;134;19;17;49;20200614_130529(0).jpg;403;77
6;153;21;27;44;20200614_130529(0).jpg;403;77
b;228;31;52;36;20200614_130529(0).jpg;403;77
1;329;19;14;49;20200614_130529(0).jpg;403;77
5;348;21;28;48;20200614_130529(0).jpg;403;77
2;30;26;30;44;20200614_130529.jpg;358;102
6;58;27;27;48;20200614_130529.jpg;358;102
0;84;29;23;46;20200614_130529.jpg;358;102
1;112;32;16;47;20200614_130529.jpg;358;102
6;130;33;24;46;20200614_130529.jpg;358;102
b;200;50;46;34;20200614_130529.jpg;358;102
1;293;41;13;50;20200614_130529.jpg;358;102
5;312;44;25;46;20200614_130529.jpg;358;102
6;22;75;17;33;20200614_130537.jpg;214;122
5;38;69;17;35;20200614_130537.jpg;214;122
9;57;67;14;31;20200614_130537.jpg;214;122
3;73;61;15;32;20200614_130537.jpg;214;122
6;90;54;15;32;20200614_130537.jpg;214;122
a;132;40;13;35;20200614_130537.jpg;214;122
5;174;23;15;35;20200614_130537.jpg;214;122
0;188;18;12;33;20200614_130537.jpg;214;122
6;37;51;32;36;20200614_130539.jpg;384;91
5;66;51;29;35;20200614_130539.jpg;384;91
9;92;49;32;34;20200614_130539.jpg;384;91
3;121;46;28;36;20200614_130539.jpg;384;91
6;146;44;31;36;20200614_130539.jpg;384;91
a;227;33;19;40;20200614_130539.jpg;384;91
5;302;20;28;40;20200614_130539.jpg;384;91
0;334;16;24;40;20200614_130539.jpg;384;91
2;17;26;9;31;20200614_130544(0).jpg;176;123
3;27;29;12;31;20200614_130544(0).jpg;176;123
5;38;35;12;29;20200614_130544(0).jpg;176;123
8;49;38;12;31;20200614_130544(0).jpg;176;123
8;61;43;14;29;20200614_130544(0).jpg;176;123
b;92;60;23;24;20200614_130544(0).jpg;176;123
1;134;66;10;33;20200614_130544(0).jpg;176;123
5;143;67;17;35;20200614_130544(0).jpg;176;123
2;12;9;8;23;20200614_130544.jpg;137;67
3;20;12;8;22;20200614_130544.jpg;137;67
5;28;13;9;23;20200614_130544.jpg;137;67
8;36;15;8;23;20200614_130544.jpg;137;67
8;44;18;10;21;20200614_130544.jpg;137;67
b;67;26;16;18;20200614_130544.jpg;137;67
1;98;27;5;25;20200614_130544.jpg;137;67
5;106;29;10;24;20200614_130544.jpg;137;67
7;6;34;12;29;20200614_130555(0).jpg;159;67
9;21;31;13;28;20200614_130555(0).jpg;159;67
3;35;29;14;28;20200614_130555(0).jpg;159;67
8;49;26;12;27;20200614_130555(0).jpg;159;67
4;62;23;12;28;20200614_130555(0).jpg;159;67
b;93;18;23;20;20200614_130555(0).jpg;159;67
8;135;8;12;27;20200614_130555(0).jpg;159;67
7;18;21;12;24;20200614_130555.jpg;153;52
9;31;20;12;23;20200614_130555.jpg;153;52
3;43;18;11;23;20200614_130555.jpg;153;52
8;54;15;10;23;20200614_130555.jpg;153;52
4;65;14;10;23;20200614_130555.jpg;153;52
b;89;13;21;15;20200614_130555.jpg;153;52
8;125;4;9;23;20200614_130555.jpg;153;52
1;15;41;12;31;20200614_130559(0).jpg;164;73
6;27;37;16;30;20200614_130559(0).jpg;164;73
2;39;35;16;30;20200614_130559(0).jpg;164;73
3;54;33;15;29;20200614_130559(0).jpg;164;73
3;67;29;14;31;20200614_130559(0).jpg;164;73
d;107;19;18;27;20200614_130559(0).jpg;164;73
8;139;11;14;30;20200614_130559(0).jpg;164;73
1;11;12;10;25;20200614_130559.jpg;140;40
6;23;10;10;26;20200614_130559.jpg;140;40
2;34;10;10;25;20200614_130559.jpg;140;40
3;45;9;10;24;20200614_130559.jpg;140;40
3;56;8;9;24;20200614_130559.jpg;140;40
d;90;6;15;19;20200614_130559.jpg;140;40
8;118;1;11;25;20200614_130559.jpg;140;40
4;19;43;15;35;20200614_130603.jpg;186;81
9;31;40;18;36;20200614_130603.jpg;186;81
1;47;37;13;36;20200614_130603.jpg;186;81
3;60;36;18;35;20200614_130603.jpg;186;81
3;76;34;17;35;20200614_130603.jpg;186;81
h;118;33;18;21;20200614_130603.jpg;186;81
6;159;19;18;33;20200614_130603.jpg;186;81
4;19;74;24;52;20200614_130604.jpg;223;144
9;37;68;26;48;20200614_130604.jpg;223;144
1;57;63;20;49;20200614_130604.jpg;223;144
3;73;56;25;51;20200614_130604.jpg;223;144
3;93;52;23;46;20200614_130604.jpg;223;144
h;142;44;23;31;20200614_130604.jpg;223;144
6;190;20;21;44;20200614_130604.jpg;223;144
4;12;52;19;38;20200614_130606(0).jpg;212;102
5;31;47;20;40;20200614_130606(0).jpg;212;102
3;51;45;17;38;20200614_130606(0).jpg;212;102
6;67;42;20;36;20200614_130606(0).jpg;212;102
7;84;36;16;39;20200614_130606(0).jpg;212;102
a;130;26;17;40;20200614_130606(0).jpg;212;102
7;167;17;15;39;20200614_130606(0).jpg;212;102
2;184;14;15;37;20200614_130606(0).jpg;212;102
4;18;40;13;26;20200614_130606.jpg;178;66
5;30;37;15;29;20200614_130606.jpg;178;66
3;45;34;13;29;20200614_130606.jpg;178;66
6;60;31;13;31;20200614_130606.jpg;178;66
7;71;27;15;31;20200614_130606.jpg;178;66
a;111;21;11;32;20200614_130606.jpg;178;66
7;139;14;12;31;20200614_130606.jpg;178;66
2;152;11;13;28;20200614_130606.jpg;178;66
8;40;143;27;42;20200614_130610.jpg;244;206
0;66;128;21;44;20200614_130610.jpg;244;206
9;85;112;23;45;20200614_130610.jpg;244;206
7;103;98;23;49;20200614_130610.jpg;244;206
6;123;87;21;44;20200614_130610.jpg;244;206
b;164;57;32;33;20200614_130610.jpg;244;206
8;213;19;18;45;20200614_130610.jpg;244;206
8;23;149;40;43;20200614_130611.jpg;374;218
0;57;137;36;46;20200614_130611.jpg;374;218
9;94;126;33;45;20200614_130611.jpg;374;218
7;125;111;30;51;20200614_130611.jpg;374;218
6;156;102;34;47;20200614_130611.jpg;374;218
b;229;70;55;40;20200614_130611.jpg;374;218
8;322;29;30;49;20200614_130611.jpg;374;218
2;8;10;9;17;20200614_130621.jpg;112;29
3;18;9;7;16;20200614_130621.jpg;112;29
7;26;9;8;16;20200614_130621.jpg;112;29
8;34;9;8;17;20200614_130621.jpg;112;29
4;43;9;8;16;20200614_130621.jpg;112;29
h;68;11;11;13;20200614_130621.jpg;112;29
6;96;6;9;18;20200614_130621.jpg;112;29
2;11;9;15;25;20200614_130622.jpg;181;51
3;26;10;12;25;20200614_130622.jpg;181;51
7;37;11;14;25;20200614_130622.jpg;181;51
8;51;12;14;25;20200614_130622.jpg;181;51
4;66;11;13;28;20200614_130622.jpg;181;51
h;105;18;20;19;20200614_130622.jpg;181;51
6;151;15;15;27;20200614_130622.jpg;181;51
5;9;15;8;18;20200614_130626.jpg;105;79
9;16;19;8;18;20200614_130626.jpg;105;79
9;23;22;7;18;20200614_130626.jpg;105;79
6;30;26;9;19;20200614_130626.jpg;105;79
2;38;29;11;20;20200614_130626.jpg;105;79
6;46;32;10;20;20200614_130626.jpg;105;79
w;62;40;18;21;20200614_130626.jpg;105;79
w;78;47;18;21;20200614_130626.jpg;105;79
6;16;12;17;32;20200614_130630.jpg;173;93
3;28;15;17;32;20200614_130630.jpg;173;93
3;39;18;16;33;20200614_130630.jpg;173;93
3;50;22;16;34;20200614_130630.jpg;173;93
7;60;26;15;30;20200614_130630.jpg;173;93
h;96;43;21;23;20200614_130630.jpg;173;93
6;139;48;18;33;20200614_130630.jpg;173;93
5;14;23;28;41;20200614_130637.jpg;242;163
7;24;31;24;40;20200614_130637.jpg;242;163
8;43;39;23;37;20200614_130637.jpg;242;163
5;58;47;27;40;20200614_130637.jpg;242;163
a;127;79;19;39;20200614_130637.jpg;242;163
7;191;108;23;37;20200614_130637.jpg;242;163
9;13;9;12;33;20200614_130647(0).jpg;150;47
2;27;9;11;34;20200614_130647(0).jpg;150;47
3;40;10;12;32;20200614_130647(0).jpg;150;47
4;52;10;12;31;20200614_130647(0).jpg;150;47
7;65;11;11;31;20200614_130647(0).jpg;150;47
a;100;14;6;32;20200614_130647(0).jpg;150;47
7;134;16;10;30;20200614_130647(0).jpg;150;47
9;10;12;9;21;20200614_130647.jpg;113;39
2;19;12;10;21;20200614_130647.jpg;113;39
3;29;11;9;21;20200614_130647.jpg;113;39
4;38;10;8;21;20200614_130647.jpg;113;39
7;46;10;7;23;20200614_130647.jpg;113;39
a;70;7;7;23;20200614_130647.jpg;113;39
7;95;9;6;20;20200614_130647.jpg;113;39
9;10;7;8;18;20200614_130655.jpg;102;27
4;18;7;7;19;20200614_130655.jpg;102;27
8;25;7;8;18;20200614_130655.jpg;102;27
1;34;7;5;18;20200614_130655.jpg;102;27
4;42;7;6;19;20200614_130655.jpg;102;27
a;63;7;6;17;20200614_130655.jpg;102;27
8;84;8;7;18;20200614_130655.jpg;102;27
5;9;7;9;18;20200614_130656.jpg;120;46
7;17;9;7;16;20200614_130656.jpg;120;46
9;26;9;8;18;20200614_130656.jpg;120;46
0;35;11;7;17;20200614_130656.jpg;120;46
2;43;11;8;19;20200614_130656.jpg;120;46
a;71;16;7;19;20200614_130656.jpg;120;46
5;95;18;9;20;20200614_130656.jpg;120;46
5;105;19;8;20;20200614_130656.jpg;120;46
7;9;22;8;20;20200614_130931.jpg;125;48
5;21;21;10;19;20200614_130931.jpg;125;48
1;34;19;7;21;20200614_130931.jpg;125;48
1;46;17;7;21;20200614_130931.jpg;125;48
2;57;16;10;19;20200614_130931.jpg;125;48
b;81;16;19;12;20200614_130931.jpg;125;48
8;113;8;10;19;20200614_130931.jpg;125;48
3;6;13;7;17;20200614_130942(0).jpg;95;30
2;15;13;6;17;20200614_130942(0).jpg;95;30
0;22;12;6;16;20200614_130942(0).jpg;95;30
4;29;12;6;18;20200614_130942(0).jpg;95;30
0;36;11;7;17;20200614_130942(0).jpg;95;30
a;59;9;4;17;20200614_130942(0).jpg;95;30
5;76;9;8;17;20200614_130942(0).jpg;95;30
6;84;8;8;17;20200614_130942(0).jpg;95;30
3;8;9;7;15;20200614_130942.jpg;92;24
2;16;9;5;14;20200614_130942.jpg;92;24
0;22;8;6;14;20200614_130942.jpg;92;24
4;28;8;5;14;20200614_130942.jpg;92;24
0;34;7;6;14;20200614_130942.jpg;92;24
a;52;6;5;15;20200614_130942.jpg;92;24
5;68;5;6;14;20200614_130942.jpg;92;24
6;75;4;6;14;20200614_130942.jpg;92;24
3;15;34;15;27;20200614_130944.jpg;181;68
2;31;30;12;30;20200614_130944.jpg;181;68
0;44;28;13;27;20200614_130944.jpg;181;68
4;60;25;11;29;20200614_130944.jpg;181;68
0;73;24;11;29;20200614_130944.jpg;181;68
a;112;19;11;28;20200614_130944.jpg;181;68
5;146;14;15;27;20200614_130944.jpg;181;68
6;162;11;14;28;20200614_130944.jpg;181;68
3;37;353;63;46;20200614_130954.jpg;441;440
0;83;314;53;49;20200614_130954.jpg;441;440
6;125;277;53;53;20200614_130954.jpg;441;440
6;170;245;49;49;20200614_130954.jpg;441;440
6;207;207;51;45;20200614_130954.jpg;441;440
b;275;127;66;58;20200614_130954.jpg;441;440
6;379;55;31;47;20200614_130954.jpg;441;440
8;11;12;6;16;20200614_131002.jpg;93;30
7;17;11;6;17;20200614_131002.jpg;93;30
0;24;12;6;15;20200614_131002.jpg;93;30
0;30;11;6;15;20200614_131002.jpg;93;30
4;38;11;6;15;20200614_131002.jpg;93;30
b;54;11;13;10;20200614_131002.jpg;93;30
8;77;8;8;15;20200614_131002.jpg;93;30
8;11;8;11;20;20200614_131003.jpg;126;28
7;21;7;8;21;20200614_131003.jpg;126;28
0;31;7;9;21;20200614_131003.jpg;126;28
0;39;7;10;19;20200614_131003.jpg;126;28
4;50;7;8;17;20200614_131003.jpg;126;28
b;70;6;18;13;20200614_131003.jpg;126;28
8;104;2;8;19;20200614_131003.jpg;126;28
4;15;12;15;38;20200614_131008.jpg;240;78
9;32;12;16;36;20200614_131008.jpg;240;78
1;44;10;21;44;20200614_131008.jpg;240;78
4;58;13;21;38;20200614_131008.jpg;240;78
9;75;14;25;38;20200614_131008.jpg;240;78
b;124;24;29;27;20200614_131008.jpg;240;78
2;177;18;18;44;20200614_131008.jpg;240;78
6;196;21;20;38;20200614_131008.jpg;240;78
7;30;39;23;46;20200614_131013(0).jpg;305;95
5;54;37;27;46;20200614_131013(0).jpg;305;95
0;77;36;22;42;20200614_131013(0).jpg;305;95
2;99;32;24;47;20200614_131013(0).jpg;305;95
0;122;29;24;48;20200614_131013(0).jpg;305;95
d;181;23;27;41;20200614_131013(0).jpg;305;95
6;243;14;28;49;20200614_131013(0).jpg;305;95
7;19;36;14;34;20200614_131013.jpg;196;71
5;35;33;17;31;20200614_131013.jpg;196;71
0;51;31;14;31;20200614_131013.jpg;196;71
2;65;28;13;29;20200614_131013.jpg;196;71
0;79;25;16;32;20200614_131013.jpg;196;71
d;114;21;27;28;20200614_131013.jpg;196;71
6;159;8;20;33;20200614_131013.jpg;196;71
3;14;9;6;10;20200614_131017.jpg;78;22
7;20;8;6;11;20200614_131017.jpg;78;22
6;26;9;7;10;20200614_131017.jpg;78;22
4;32;8;6;11;20200614_131017.jpg;78;22
